fecha,descripcion,importe_nominal,es_sintetico,registro_id,descripcion_normalizada,motivo,semana_inicio
2021-09-20,MANTEQUILLA,62.7,1,115,MANTEQUILLA,,2021-09-20
2021-09-27,HARINA,126.81,1,116,HARINA,,2021-09-27
2021-09-27,AZUCAR,147.33,1,117,AZUCAR,,2021-09-27
2021-09-27,MANTEQUILLA,68.53,1,118,MANTEQUILLA,,2021-09-27
2021-10-04,HARINA,0.0,1,119,HARINA,,2021-10-04
2021-10-04,AZUCAR,0.0,1,120,AZUCAR,,2021-10-04
2021-10-04,MANTEQUILLA,0.0,1,121,MANTEQUILLA,,2021-10-04
2021-10-11,HARINA,144.28,1,122,HARINA,,2021-10-11
2021-10-11,AZUCAR,164.93,1,123,AZUCAR,,2021-10-11
2021-10-11,MANTEQUILLA,77.3,1,124,MANTEQUILLA,,2021-10-11
2021-10-18,HARINA,150.99,1,125,HARINA,,2021-10-18
2021-10-18,AZUCAR,169.65,1,126,AZUCAR,,2021-10-18
2021-10-18,MANTEQUILLA,80.16,1,127,MANTEQUILLA,,2021-10-18
2021-10-25,HARINA,157.34,1,128,HARINA,,2021-10-25
2021-10-25,AZUCAR,172.79,1,129,AZUCAR,,2021-10-25
2021-10-25,MANTEQUILLA,82.53,1,130,MANTEQUILLA,,2021-10-25
2021-11-01,HARINA,165.76,1,131,HARINA,,2021-11-01
2021-11-01,AZUCAR,176.96,1,132,AZUCAR,,2021-11-01
2021-11-01,MANTEQUILLA,85.68,1,133,MANTEQUILLA,,2021-11-01
2021-11-08,HARINA,163.21,1,134,HARINA,,2021-11-08
2021-11-08,AZUCAR,168.55,1,135,AZUCAR,,2021-11-08
2021-11-08,MANTEQUILLA,82.94,1,136,MANTEQUILLA,,2021-11-08
2021-11-15,HARINA,155.76,1,137,HARINA,,2021-11-15
2021-11-15,AZUCAR,154.94,1,138,AZUCAR,,2021-11-15
2021-11-15,MANTEQUILLA,77.68,1,139,MANTEQUILLA,,2021-11-15
2021-11-22,HARINA,141.9,1,140,HARINA,,2021-11-22
2021-11-22,AZUCAR,135.43,1,141,AZUCAR,,2021-11-22
2021-11-22,MANTEQUILLA,69.33,1,142,MANTEQUILLA,,2021-11-22
2021-11-29,HARINA,139.48,1,143,HARINA,,2021-11-29
2021-11-29,AZUCAR,127.31,1,144,AZUCAR,,2021-11-29
2021-11-29,MANTEQUILLA,66.7,1,145,MANTEQUILLA,,2021-11-29
2021-12-06,HARINA,135.69,1,146,HARINA,,2021-12-06
2021-12-06,AZUCAR,118.15,1,147,AZUCAR,,2021-12-06
2021-12-06,MANTEQUILLA,63.46,1,148,MANTEQUILLA,,2021-12-06
2021-12-13,HARINA,138.46,1,149,HARINA,,2021-12-13
2021-12-13,AZUCAR,114.79,1,150,AZUCAR,,2021-12-13
2021-12-13,MANTEQUILLA,63.31,1,151,MANTEQUILLA,,2021-12-13
2021-12-20,HARINA,150.34,1,152,HARINA,,2021-12-20
2021-12-20,AZUCAR,118.52,1,153,AZUCAR,,2021-12-20
2021-12-20,MANTEQUILLA,67.22,1,154,MANTEQUILLA,,2021-12-20
2021-12-27,HARINA,160.66,1,155,HARINA,,2021-12-27
2021-12-27,AZUCAR,120.38,1,156,AZUCAR,,2021-12-27
2021-12-27,MANTEQUILLA,70.26,1,157,MANTEQUILLA,,2021-12-27
2022-01-03,HARINA,0.0,1,158,HARINA,,2022-01-03
2022-01-03,AZUCAR,0.0,1,159,AZUCAR,,2022-01-03
2022-01-03,MANTEQUILLA,0.0,1,160,MANTEQUILLA,,2022-01-03
2022-01-10,HARINA,198.13,1,161,HARINA,,2022-01-10
2022-01-10,AZUCAR,134.29,1,162,AZUCAR,,2022-01-10
2022-01-10,MANTEQUILLA,83.11,1,163,MANTEQUILLA,,2022-01-10
2022-01-17,HARINA,209.56,1,164,HARINA,,2022-01-17
2022-01-17,AZUCAR,135.39,1,165,AZUCAR,,2022-01-17
2022-01-17,MANTEQUILLA,86.24,1,166,MANTEQUILLA,,2022-01-17
2022-01-24,HARINA,220.37,1,167,HARINA,,2022-01-24
2022-01-24,AZUCAR,136.05,1,168,AZUCAR,,2022-01-24
2022-01-24,MANTEQUILLA,89.11,1,169,MANTEQUILLA,,2022-01-24
2022-01-31,HARINA,224.98,1,170,HARINA,,2022-01-31
2022-01-31,AZUCAR,133.16,1,171,AZUCAR,,2022-01-31
2022-01-31,MANTEQUILLA,89.54,1,172,MANTEQUILLA,,2022-01-31
2022-02-07,HARINA,207.84,1,173,HARINA,,2022-02-07
2022-02-07,AZUCAR,118.4,1,174,AZUCAR,,2022-02-07
2022-02-07,MANTEQUILLA,81.56,1,175,MANTEQUILLA,,2022-02-07
2022-02-14,HARINA,205.06,1,176,HARINA,,2022-02-14
2022-02-14,AZUCAR,112.96,1,177,AZUCAR,,2022-02-14
2022-02-14,MANTEQUILLA,79.5,1,178,MANTEQUILLA,,2022-02-14
2022-02-21,HARINA,191.99,1,179,HARINA,,2022-02-21
2022-02-21,AZUCAR,102.81,1,180,AZUCAR,,2022-02-21
2022-02-21,MANTEQUILLA,73.7,1,181,MANTEQUILLA,,2022-02-21
2022-02-28,HARINA,179.85,1,182,HARINA,,2022-02-28
2022-02-28,AZUCAR,94.19,1,183,AZUCAR,,2022-02-28
2022-02-28,MANTEQUILLA,68.51,1,184,MANTEQUILLA,,2022-02-28
2022-03-07,HARINA,175.32,1,185,HARINA,,2022-03-07
2022-03-07,AZUCAR,90.36,1,186,AZUCAR,,2022-03-07
2022-03-07,MANTEQUILLA,66.42,1,187,MANTEQUILLA,,2022-03-07
2022-03-14,HARINA,186.08,1,188,HARINA,,2022-03-14
2022-03-14,AZUCAR,95.02,1,189,AZUCAR,,2022-03-14
2022-03-14,MANTEQUILLA,70.28,1,190,MANTEQUILLA,,2022-03-14
2022-03-21,HARINA,177.4,1,191,HARINA,,2022-03-21
2022-03-21,AZUCAR,90.38,1,192,AZUCAR,,2022-03-21
2022-03-21,MANTEQUILLA,66.95,1,193,MANTEQUILLA,,2022-03-21
2022-03-28,HARINA,200.94,1,194,HARINA,,2022-03-28
2022-03-28,AZUCAR,102.85,1,195,AZUCAR,,2022-03-28
2022-03-28,MANTEQUILLA,75.95,1,196,MANTEQUILLA,,2022-03-28
2022-04-04,HARINA,0.0,1,197,HARINA,,2022-04-04
2022-04-04,AZUCAR,0.0,1,198,AZUCAR,,2022-04-04
2022-04-04,MANTEQUILLA,0.0,1,199,MANTEQUILLA,,2022-04-04
2022-04-11,HARINA,213.03,1,200,HARINA,,2022-04-11
2022-04-11,AZUCAR,112.32,1,201,AZUCAR,,2022-04-11
2022-04-11,MANTEQUILLA,81.34,1,202,MANTEQUILLA,,2022-04-11
2022-04-18,HARINA,231.57,1,203,HARINA,,2022-04-18
2022-04-18,AZUCAR,125.12,1,204,AZUCAR,,2022-04-18
2022-04-18,MANTEQUILLA,89.17,1,205,MANTEQUILLA,,2022-04-18
2022-04-25,HARINA,238.19,1,206,HARINA,,2022-04-25
2022-04-25,AZUCAR,132.62,1,207,AZUCAR,,2022-04-25
2022-04-25,MANTEQUILLA,92.7,1,208,MANTEQUILLA,,2022-04-25
2022-05-02,HARINA,236.76,1,209,HARINA,,2022-05-02
2022-05-02,AZUCAR,136.55,1,210,AZUCAR,,2022-05-02
2022-05-02,MANTEQUILLA,93.33,1,211,MANTEQUILLA,,2022-05-02
2022-05-09,HARINA,226.65,1,212,HARINA,,2022-05-09
2022-05-09,AZUCAR,136.01,1,213,AZUCAR,,2022-05-09
2022-05-09,MANTEQUILLA,90.66,1,214,MANTEQUILLA,,2022-05-09
2022-05-16,HARINA,211.66,1,215,HARINA,,2022-05-16
2022-05-16,AZUCAR,132.64,1,216,AZUCAR,,2022-05-16
2022-05-16,MANTEQUILLA,86.08,1,217,MANTEQUILLA,,2022-05-16
2022-05-23,HARINA,188.1,1,218,HARINA,,2022-05-23
2022-05-23,AZUCAR,123.47,1,219,AZUCAR,,2022-05-23
2022-05-23,MANTEQUILLA,77.89,1,220,MANTEQUILLA,,2022-05-23
2022-05-30,HARINA,172.48,1,221,HARINA,,2022-05-30
2022-05-30,AZUCAR,118.85,1,222,AZUCAR,,2022-05-30
2022-05-30,MANTEQUILLA,72.83,1,223,MANTEQUILLA,,2022-05-30
2022-06-06,HARINA,169.42,1,224,HARINA,,2022-06-06
2022-06-06,AZUCAR,122.74,1,225,AZUCAR,,2022-06-06
2022-06-06,MANTEQUILLA,73.04,1,226,MANTEQUILLA,,2022-06-06
2022-06-13,HARINA,159.18,1,227,HARINA,,2022-06-13
2022-06-13,AZUCAR,121.33,1,228,AZUCAR,,2022-06-13
2022-06-13,MANTEQUILLA,70.13,1,229,MANTEQUILLA,,2022-06-13
2022-06-20,HARINA,155.09,1,230,HARINA,,2022-06-20
2022-06-20,AZUCAR,124.36,1,231,AZUCAR,,2022-06-20
2022-06-20,MANTEQUILLA,69.86,1,232,MANTEQUILLA,,2022-06-20
2022-06-27,HARINA,162.36,1,233,HARINA,,2022-06-27
2022-06-27,AZUCAR,136.86,1,234,AZUCAR,,2022-06-27
2022-06-27,MANTEQUILLA,74.8,1,235,MANTEQUILLA,,2022-06-27
2022-07-04,HARINA,0.0,1,236,HARINA,,2022-07-04
2022-07-04,AZUCAR,0.0,1,237,AZUCAR,,2022-07-04
2022-07-04,MANTEQUILLA,0.0,1,238,MANTEQUILLA,,2022-07-04
2022-07-11,HARINA,180.75,1,239,HARINA,,2022-07-11
2022-07-11,AZUCAR,167.53,1,240,AZUCAR,,2022-07-11
2022-07-11,MANTEQUILLA,87.07,1,241,MANTEQUILLA,,2022-07-11
2022-07-18,HARINA,193.22,1,242,HARINA,,2022-07-18
2022-07-18,AZUCAR,187.06,1,243,AZUCAR,,2022-07-18
2022-07-18,MANTEQUILLA,95.07,1,244,MANTEQUILLA,,2022-07-18
2022-07-25,HARINA,192.36,1,245,HARINA,,2022-07-25
2022-07-25,AZUCAR,193.86,1,246,AZUCAR,,2022-07-25
2022-07-25,MANTEQUILLA,96.55,1,247,MANTEQUILLA,,2022-07-25
2022-08-01,HARINA,190.68,1,248,HARINA,,2022-08-01
2022-08-01,AZUCAR,199.23,1,249,AZUCAR,,2022-08-01
2022-08-01,MANTEQUILLA,97.48,1,250,MANTEQUILLA,,2022-08-01
2022-08-08,HARINA,176.74,1,251,HARINA,,2022-08-08
2022-08-08,AZUCAR,190.59,1,252,AZUCAR,,2022-08-08
2022-08-08,MANTEQUILLA,91.83,1,253,MANTEQUILLA,,2022-08-08
2022-08-15,HARINA,167.89,1,254,HARINA,,2022-08-15
2022-08-15,AZUCAR,185.92,1,255,AZUCAR,,2022-08-15
2022-08-15,MANTEQUILLA,88.45,1,256,MANTEQUILLA,,2022-08-15
2022-08-22,HARINA,157.92,1,257,HARINA,,2022-08-22
2022-08-22,AZUCAR,178.59,1,258,AZUCAR,,2022-08-22
2022-08-22,MANTEQUILLA,84.13,1,259,MANTEQUILLA,,2022-08-22
2022-08-29,HARINA,143.56,1,260,HARINA,,2022-08-29
2022-08-29,AZUCAR,164.84,1,261,AZUCAR,,2022-08-29
2022-08-29,MANTEQUILLA,77.1,1,262,MANTEQUILLA,,2022-08-29
2022-09-05,HARINA,140.78,1,263,HARINA,,2022-09-05
2022-09-05,AZUCAR,163.13,1,264,AZUCAR,,2022-09-05
2022-09-05,MANTEQUILLA,75.98,1,265,MANTEQUILLA,,2022-09-05
2022-09-12,HARINA,134.86,1,266,HARINA,,2022-09-12
2022-09-12,AZUCAR,156.73,1,267,AZUCAR,,2022-09-12
2022-09-12,MANTEQUILLA,72.9,1,268,MANTEQUILLA,,2022-09-12
2022-09-19,HARINA,140.77,1,269,HARINA,,2022-09-19
2022-09-19,AZUCAR,163.04,1,270,AZUCAR,,2022-09-19
2022-09-19,MANTEQUILLA,75.95,1,271,MANTEQUILLA,,2022-09-19
2022-09-26,HARINA,149.97,1,272,HARINA,,2022-09-26
2022-09-26,AZUCAR,172.05,1,273,AZUCAR,,2022-09-26
2022-09-26,MANTEQUILLA,80.51,1,274,MANTEQUILLA,,2022-09-26
2022-10-03,HARINA,0.0,1,275,HARINA,,2022-10-03
2022-10-03,AZUCAR,0.0,1,276,AZUCAR,,2022-10-03
2022-10-03,MANTEQUILLA,0.0,1,277,MANTEQUILLA,,2022-10-03
2022-10-10,HARINA,171.57,1,278,HARINA,,2022-10-10
2022-10-10,AZUCAR,189.66,1,279,AZUCAR,,2022-10-10
2022-10-10,MANTEQUILLA,90.31,1,280,MANTEQUILLA,,2022-10-10
2022-10-17,HARINA,190.63,1,281,HARINA,,2022-10-17
2022-10-17,AZUCAR,205.15,1,282,AZUCAR,,2022-10-17
2022-10-17,MANTEQUILLA,98.94,1,283,MANTEQUILLA,,2022-10-17
2022-10-24,HARINA,193.87,1,284,HARINA,,2022-10-24
2022-10-24,AZUCAR,202.08,1,285,AZUCAR,,2022-10-24
2022-10-24,MANTEQUILLA,98.99,1,286,MANTEQUILLA,,2022-10-24
2022-10-31,HARINA,199.0,1,287,HARINA,,2022-10-31
2022-10-31,AZUCAR,200.0,1,288,AZUCAR,,2022-10-31
2022-10-31,MANTEQUILLA,99.75,1,289,MANTEQUILLA,,2022-10-31
2022-11-07,HARINA,199.29,1,290,HARINA,,2022-11-07
2022-11-07,AZUCAR,192.36,1,291,AZUCAR,,2022-11-07
2022-11-07,MANTEQUILLA,97.91,1,292,MANTEQUILLA,,2022-11-07
2022-11-14,HARINA,193.45,1,293,HARINA,,2022-11-14
2022-11-14,AZUCAR,178.72,1,294,AZUCAR,,2022-11-14
2022-11-14,MANTEQUILLA,93.04,1,295,MANTEQUILLA,,2022-11-14
2022-11-21,HARINA,187.31,1,296,HARINA,,2022-11-21
2022-11-21,AZUCAR,165.19,1,297,AZUCAR,,2022-11-21
2022-11-21,MANTEQUILLA,88.13,1,298,MANTEQUILLA,,2022-11-21
2022-11-28,HARINA,177.19,1,299,HARINA,,2022-11-28
2022-11-28,AZUCAR,148.84,1,300,AZUCAR,,2022-11-28
2022-11-28,MANTEQUILLA,81.51,1,301,MANTEQUILLA,,2022-11-28
2022-12-05,HARINA,172.91,1,302,HARINA,,2022-12-05
2022-12-05,AZUCAR,138.15,1,303,AZUCAR,,2022-12-05
2022-12-05,MANTEQUILLA,77.76,1,304,MANTEQUILLA,,2022-12-05
2022-12-12,HARINA,177.77,1,305,HARINA,,2022-12-12
2022-12-12,AZUCAR,135.01,1,306,AZUCAR,,2022-12-12
2022-12-12,MANTEQUILLA,78.2,1,307,MANTEQUILLA,,2022-12-12
2022-12-19,HARINA,178.12,1,308,HARINA,,2022-12-19
2022-12-19,AZUCAR,128.58,1,309,AZUCAR,,2022-12-19
2022-12-19,MANTEQUILLA,76.67,1,310,MANTEQUILLA,,2022-12-19
2022-12-26,HARINA,194.11,1,311,HARINA,,2022-12-26
2022-12-26,AZUCAR,133.29,1,312,AZUCAR,,2022-12-26
2022-12-26,MANTEQUILLA,81.85,1,313,MANTEQUILLA,,2022-12-26
2023-01-02,HARINA,0.0,1,314,HARINA,,2023-01-02
2023-01-02,AZUCAR,0.0,1,315,AZUCAR,,2023-01-02
2023-01-02,MANTEQUILLA,0.0,1,316,MANTEQUILLA,,2023-01-02
2023-01-09,HARINA,231.19,1,317,HARINA,,2023-01-09
2023-01-09,AZUCAR,144.42,1,318,AZUCAR,,2023-01-09
2023-01-09,MANTEQUILLA,93.9,1,319,MANTEQUILLA,,2023-01-09
2023-01-16,HARINA,248.47,1,320,HARINA,,2023-01-16
2023-01-16,AZUCAR,148.66,1,321,AZUCAR,,2023-01-16
2023-01-16,MANTEQUILLA,99.28,1,322,MANTEQUILLA,,2023-01-16
2023-01-23,HARINA,266.56,1,323,HARINA,,2023-01-23
2023-01-23,AZUCAR,153.33,1,324,AZUCAR,,2023-01-23
2023-01-23,MANTEQUILLA,104.97,1,325,MANTEQUILLA,,2023-01-23
2023-01-30,HARINA,260.87,1,326,HARINA,,2023-01-30
2023-01-30,AZUCAR,144.92,1,327,AZUCAR,,2023-01-30
2023-01-30,MANTEQUILLA,101.45,1,328,MANTEQUILLA,,2023-01-30
2023-02-06,HARINA,259.22,1,329,HARINA,,2023-02-06
2023-02-06,AZUCAR,139.78,1,330,AZUCAR,,2023-02-06
2023-02-06,MANTEQUILLA,99.75,1,331,MANTEQUILLA,,2023-02-06
