semana_inicio,ventas_registradas,captura_observada
2023-11-06,290.0,True
2023-11-13,3800.0,True
2023-11-20,4670.0,True
2023-11-27,2440.0,True
2023-12-04,5755.0,True
2023-12-11,2410.0,True
2023-12-18,1020.0,True
2023-12-25,2500.0,True
2024-01-01,2685.0,True
2024-01-08,2490.0,True
2024-01-15,525.0,True
2024-01-22,1250.0,True
2024-01-29,8325.0,True
2024-02-05,2440.0,True
2024-02-12,3710.0,True
2024-02-19,1360.0,True
2024-02-26,9060.0,True
2024-03-04,2170.0,True
2024-03-11,810.0,True
2024-03-18,880.0,True
2024-03-25,4170.0,True
2024-04-01,940.0,True
2024-04-08,5620.0,True
2024-04-15,2250.0,True
2024-04-22,650.0,True
2024-04-29,14105.0,True
2024-05-06,2240.0,True
2024-05-13,3530.0,True
2024-05-20,1590.0,True
2024-05-27,1515.0,True
2024-06-03,1440.0,True
2024-06-10,4890.0,True
2024-06-17,4385.0,True
2024-06-24,3885.0,True
2024-07-01,2020.0,True
2024-07-08,5145.0,True
2024-07-15,3450.0,True
2024-07-22,1050.0,True
2024-07-29,580.0,True
2024-08-05,400.0,True
2024-08-12,990.0,True
2024-08-19,760.0,True
2024-08-26,6245.0,True
2024-09-02,6482.5,True
2024-09-09,6720.0,True
2024-09-16,3535.0,True
2024-09-23,350.0,True
2024-09-30,1075.0,True
2024-10-07,1800.0,True
2024-10-14,4100.0,True
2024-10-21,4100.0,True
2024-10-28,6400.0,True
2024-11-04,4237.5,True
2024-11-11,4237.5,True
2024-11-18,2075.0,True
2024-11-25,6270.0,True
2024-12-02,6420.0,True
2024-12-09,710.0,True
2024-12-16,1750.0,True
2024-12-23,2270.0,True
2024-12-30,1090.0,True
2025-01-06,1100.0,True
2025-01-13,430.0,True
2025-01-20,752.375,True
2025-01-27,666.1875,True
2025-02-03,580.0,True
2025-02-10,2992.75,True
2025-02-17,650.0,True
2025-02-24,280.0,True
2025-03-03,431.75,True
2025-03-10,565.875,True
2025-03-17,565.875,True
2025-03-24,700.0,True
2025-03-31,450.0,True
2025-04-07,310.0,True
2025-04-14,751.0,True
2025-04-21,1192.0,True
2025-04-28,1668.35,True
2025-05-05,1067.53,True
2025-05-12,1500.0,True
2025-05-19,2011.3,True
2025-05-26,1.22,True
2025-06-02,1001.0799999999999,True
2025-06-09,2620.0,True
2025-06-16,1592.075,True
2025-06-23,564.15,True
2025-06-30,930.0,True
2025-07-07,900.0,True
2025-07-14,1480.0,True
2025-07-21,400.0,True
2025-07-28,615.0,True
2025-08-04,830.0,True
2025-08-11,450.0,True
2025-08-18,340.0,True
2025-08-25,230.0,True
2025-09-01,384.23,True
2025-09-08,902.115,True
2025-09-15,902.115,True
2025-09-22,1420.0,True
2025-09-29,732.6,True
2025-10-06,230.0,True
2025-10-13,340.0,True
2025-10-20,450.0,True
2025-10-27,1475.0,True
2025-11-03,1475.0,True
2025-11-10,2500.0,True
2025-11-17,1986.595,True
2025-11-24,1986.595,True
2025-12-01,1473.19,True
2025-12-08,1260.0,True
2025-12-15,220.0,True
2025-12-22,456.2,True
2025-12-29,583.1,True
2026-01-05,583.1,True
2026-01-12,710.0,True
2026-01-19,2552.65,True
2026-01-26,1543.825,True
2026-02-02,1543.825,True
2026-02-09,535.0,True
2026-02-16,6.06,True
2026-02-23,520.0,True
2026-03-02,264.31,True
2026-03-09,133.505,True
2026-03-16,2.7,True
2026-03-23,850.0,True
2026-03-30,1255.0,True
2026-04-06,1255.0,True
2026-04-13,1660.0,True
2026-04-20,662.8,True
2026-04-27,2.4,True
2026-05-04,322.1,True
2026-05-11,910.0,True
