"descripcion_normalizada","insumo_id","aprobado","decision","evidencia","clasificacion_analitica"
"ALEGRIA CAPACILLO MET DORADO 50 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"ALEGRIA CAPACILLO MORADO 100 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"ALEGRIA CAPACILLO POLKA NEGRO 100 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"ALEGRIA CAPACILLO VELITAS CUMPL 100 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"ALPEZZI 14000","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"ALPEZZI BLANCO 500 G","alpezzi_blanco","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"ALPEZZI BLANCO","alpezzi_blanco","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"ALPEZZI CHIPS BLANCO 500 GR","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"ALPEZZI CHIPS BLANCO","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"ALPURA MED","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"AMBIANTE","","False","revisar","Pendiente de homologación por descripción.","AMBIANTE"
"AU AZUCAR","","False","revisar","Pendiente de homologación por descripción.","AZUCAR"
"AU HUEVO 1","","False","revisar","Pendiente de homologación por descripción.","HUEVO"
"AVELLANA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"AZUCAR ESTANDAR","","False","revisar","Pendiente de homologación por descripción.","AZUCAR"
"AZUCAR GLASS DE PRIME","azucar_glass","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","AZUCAR"
"AZUCAR GLASS DE PRIMERA","azucar_glass","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","AZUCAR"
"AZUCAR GLASS","azucar_glass","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","AZUCAR"
"AZUCAR","","False","revisar","Pendiente de homologación por descripción.","AZUCAR"
"AZUCZULKA","","False","revisar","Pendiente de homologación por descripción.","AZUCAR"
"BAILEY'S","","False","revisar","Pendiente de homologación por descripción.","LICORES"
"BASE 16","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE 25 CM DOBLE","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE 25 X 35","base_25x35","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 25X35","base_25x35","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 26 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE 28 CM DOBLE","base_28_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 28 CM","base_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 28 DOBLE","base_28_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 28","base_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 28CM","base_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 30 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE 32","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE 32CM DOBLE","base_32_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 33 X 33","base_33x33","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 33X3","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE 33X33","base_33x33","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 36 DOBLE","base_36_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 36CM DOBLE","base_36_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE 40 CM DOBLE","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE D LISTON","base_liston_sin_medida","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE DE LISTON #26","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE DE LISTON","base_liston_sin_medida","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE DOBLE 28","base_28_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE DOBLE 32 CM","base_32_cm_doble","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE DOBLE LISTON NEGRA 36CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE DORADA PASTELOSO 28 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE DORADA PASTELOSO 30CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE DORADA PASTELOSO 32CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE DORADA PASTELOSO 46X66 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE EXTRAFUERTE 20 CM C/ BLONDA","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE FANSASIA PASTELOSO 28 CM","base_fantasia_pasteloso_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE FANTASIA PASTELOSO 28CM","base_fantasia_pasteloso_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE FANTASIA PASTELOSO 36 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE PLATEADA PASTELOSO 18 CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE PLATEADA PASTELOSO 30 CM","base_plateada_pasteloso_30_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE PLATEADA PASTELOSO 30CM","base_plateada_pasteloso_30_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASE PLATEADA PASTELOSO 35X47CM","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASE","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BASES 28 CM","base_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASES PARA PASTEL 28","base_28_cm","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","BASES"
"BASES PARA PASTEL 30","","False","revisar","Pendiente de homologación por descripción.","BASES"
"BISAGRA 12 CUPCAKES","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"BOLAS DE POM POM","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"BOLILLO","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"BOLLO PAPA","","True","excluir","Usuario: excluir categorías NO DEFINIDO. No eliminar registros originales.","NO DEFINIDO"
"BOLSA 10X15","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"BOLSA DE CELOFAN","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"BOLSA G","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"BOLSA JUMBO","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"BOLSA","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"BONDI MEGA WEBO LATE DISTROLLER","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"BOTELLAS JACK DANIELS","","False","revisar","Pendiente de homologación por descripción.","LICORES"
"BOWL MEZCL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"BRILLO ESTRELLA","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"BROCHETA BAMBCO 30 CM","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"CACAHUATE ESPANOL","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"CACAO BREMEN","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CAJA 12 CUPCAKES","caja_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA 17X11X3","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA 6 CUPCAKES","caja_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA ACETATO 17X11X13","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA ACETATO","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA CON 12 CAVIDADES","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA CUPCAKE 2 CAV","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA CUPCAKE 6 CAV","caja_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA CUPCAKE BLANCA 6 CAV","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA CUPCAKES 12","caja_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA CUPCAKES 6","caja_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA DE ACETATO 17X11X3","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA DE ACETATO CORAZON CHICO","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA DE CARTON PARA CUPCAKE 6 PIEZAS","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA DE CUPCAKE","caja_cupcake_sin_capacidad","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA IC","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJA PARA CUPCAKE 12 PIEZAS","caja_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA PARA CUPCAKE 6 PZ","caja_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA PARA CUPCAKE DE 12 PZ","caja_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA PARA CUPCAKE","caja_cupcake_sin_capacidad","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJA PARA CUPCAKES","caja_cupcake_sin_capacidad","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJAS CUPCAKES 12 C","caja_cupcake_12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJAS CUPCAKES 6 PIEZAS","caja_cupcake_6","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE"
"CAJAS","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CAJITA MINI","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"CAKETOPPER HAPPY BIRTHDAY TX","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"CAKETOPPER HARRY POTTER","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"CAKETOPPER","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"CALAHUA CO","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"CALAHUA CRE","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"CANISTER","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CAPACILLO 72","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO BLANCO MINI CORAZONES","","False","revisar","Pendiente de homologación por descripción.","HORNEADO | CAPACILLOS"
"CAPACILLO DORADO","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO FLOREADO ALEGRIA","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO METALICO VENCORT","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO NAVIDAD","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO NO. 4 DECORADO 50 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO NO. 69 DECORADO 40 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO NO. 72 DECORADO 25 PZ","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLO PARTY COLOR ALEGRIA","capacillos","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","HORNEADO"
"CAPACILLO VERDE PUNTOS ALEGRIA","capacillos","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","HORNEADO"
"CAPACILLOS #4 TUBO","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLOS #72","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLOS #73","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLOS A GRANEL","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLOS BLANCO HOLLIDAYS","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CAPACILLOS","","False","revisar","Pendiente de homologación por descripción.","CAPACILLOS"
"CARBOXIMETIL CELULOSA DEIMAN","carboximetil_celulosa_deiman","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"CARLOS V 8 PZ","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CARLOS V STK","carlos_v_stick","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CARLOS V","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CARNATION","leche_evaporada","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","HORNEADO"
"CELOFAN 12X13","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CELOFAN 12X18 SELLO","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"CELOFAN 6X25 100 PZ","celofan_6x25_100_pz","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"CELOFAN 8X12","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE | DECORACION"
"CELOFAN 9X12 100 PZ","celofan_9x12","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","EMPAQUE | CONSUMIBLES"
"CELOFAN 9X15","celofan_9x15","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"CEREZA CON RABO DIANA","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"CEREZAS","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"CHANT DULL","","False","revisar","Pendiente de homologación por descripción.","CHANTILLY"
"CHANTILLI 5KG","chantilly_sin_especificacion","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CHANTILLI ASTURIAS","chantilly_asturias","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CHANTILLI DULL","","False","revisar","Pendiente de homologación por descripción.","CHANTILLY"
"CHANTILLI","chantilly_sin_especificacion","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CHANTILLY 5 KG ASTURIAS","chantilly_asturias","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CHANTILLY DULCE","","False","revisar","Pendiente de homologación por descripción.","CHANTILLY"
"CHANTILLY","chantilly_sin_especificacion","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHANTILLY"
"CHAROLA GALLETERA ALTA GRANDE","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CHAROLAS","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CHIPS AMARILLO ALPEZZI C/500 GR","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHIPS BLANCO ALPEZI C/500 G","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS BLANCO ALPEZZI 500 G","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS BLANCO ALPEZZI C/ 500 G","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS BLANCO ALPEZZI","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS BLANCO APLEZZI C/ 500G","chips_blanco_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS CHOCOLATE CON L","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHIPS CHOCOLATE SEMI","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHIPS LINEA HORNEAS A","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"CHIPS NEGRO ALPEZZI C/500G","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHIPS ROJO ALPEZZI C/ 500 G","chips_rojo_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS ROJO ALPEZZI C/","chips_rojo_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS ROJO ALPEZZI C/500G","chips_rojo_alpezzi","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CHIPS ROSA ALPEZZI C/500G","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHIPS SABOR CHOCOLATE SEMIAMARGO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHOCOLATE BLANCO SICA","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHOCOLATE CARLOS V","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHOCOLATE COVERLUX BLANCO PURATOS","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"CHOCOLATE HERSHEY'S","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CHOCOLATE","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CL CORTA U","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"COCOA EN POLVO ALPES","","False","revisar","Pendiente de homologación por descripción.","RELLENO"
"COCOA HERSHEY'S C 1KG","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"COFIA","cofia","True","incluir","Usuario: incluir HORNEADO y CONSUMIBLES excepto duyas. Identificación según descripción original.","CONSUMIBLES"
"COLOR AZUL BRILLANTE ENCO","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR GEL NEGRO","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR HUMEDO","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR LIQUIDO SURTIDO","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR MORADO ENCO 40G","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR NEGRO ENCO 40G","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR ROJO ENCO 40G","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COLOR ROSA BRILLANTE ENCO 40G","","False","revisar","Pendiente de homologación por descripción.","COLORANTES"
"COMISION COBRO CON TARJEA","","True","excluir","Usuario: excluir categorías OTROS. No eliminar registros originales.","OTROS"
"CONEJO MEDIANO","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CONFETI","","False","revisar","Pendiente de homologación por descripción.","DECORACION"
"CONFITER SEMI AMARGO","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CONFITERIA","","False","revisar","Pendiente de homologación por descripción.","DULCERIA"
"CONFITIER AMARGO 70%","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CONFITIER BLANCO TURIN","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CONFITIER CHOCOLATE SEMIAMARGO TU","confitier_semiamargo_turin","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CONFITIER CHOCOLATE SEMIAMARGO TURIN","confitier_semiamargo_turin","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CONFITIER LECHE TURIN","","False","revisar","Pendiente de homologación por descripción.","CHOCOLATE"
"CONFITIER SEMIAMARGO TURIN","confitier_semiamargo_turin","True","incluir","Revisión por descripción autorizada por el usuario: equivalencia textual o producto identificable dentro del alcance. Se conservan importes originales; no se normalizan cantidades.","CHOCOLATE"
"CONTENEDOR","","False","revisar","Pendiente de homologación por descripción.","EMPAQUE"
"CORAZON CHICO","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
"CORTADOR DE PASTEL","","True","excluir","Usuario: excluir categorías HERRAMIENTA. No eliminar registros originales.","HERRAMIENTA"
