semana_inicio,IMPUTADO,HARINA,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,AMBIANTE,HUEVO,CAPACILLOS
2023-10-16,0.0,0.06204298692665632,0.037225792155993795,0.09195656990915134,0.61932195878573,0.07866164413915355,0.0,0.0,0.0365610458674939,0.0432085087524928,0.03102149346332816
2023-10-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-30,0.0,0.16290559487247963,0.13852984377086394,0.05541460809186807,0.08099879823741488,0.1368674055281079,0.21297235946054213,0.0,0.0,0.10148217385498731,0.11082921618373615
2023-11-06,0.0,0.3761194029850746,0.3761194029850746,0.24776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-13,0.0,0.5201072386058981,0.0,0.22252010723860594,0.06702412868632708,0.1903485254691689,0.0,0.0,0.0,0.0,0.0
2023-11-20,0.0,0.13278008298755187,0.5311203319502075,0.0,0.1991701244813278,0.0,0.0,0.0,0.13692946058091288,0.0,0.0
2023-11-27,0.0,0.05362776025236593,0.0,0.0,0.38485804416403785,0.0,0.08201892744479496,0.41009463722397477,0.0,0.0,0.0694006309148265
2023-12-04,0.0,0.2163409300342471,0.054327643830717816,0.057078410606956696,0.15024000440122687,0.09765222055648012,0.2655040092425764,0.12034604646045087,0.0,0.0,0.03851073486734428
2023-12-11,0.0,0.2190132370637786,0.13237063778580024,0.09987966305655836,0.0457280385078219,0.246690734055355,0.06859205776173286,0.10830324909747292,0.07942238267148016,0.0,0.0
2023-12-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-12-25,0.0,0.09399477806788512,0.18929503916449086,0.0,0.34073107049608353,0.18537859007832896,0.0,0.0,0.08616187989556136,0.10443864229765012,0.0
2024-01-01,,,,,,,,,,,
2024-01-08,0.0,0.312802316700611,0.06046334012219959,0.13206466395112015,0.10183299389002036,0.0,0.0,0.25935590631364563,0.0,0.13348077902240327,0.0
2024-01-15,,,,,,,,,,,
2024-01-22,0.0,0.0,0.5915492957746479,0.0,0.0,0.0,0.0,0.176056338028169,0.23239436619718312,0.0,0.0
2024-01-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,0.0,0.17488383442974653,0.0162682636678834,0.2531748533314354,0.3385018962694838,0.0,0.09805695925816718,0.07930778538093157,0.0,0.0,0.03980640766235219
2024-02-12,0.0,0.1872798071574263,0.1056925644353792,0.10260213857469559,0.03269670560603251,0.2583596019531491,0.038321280672476664,0.07664256134495333,0.08158724272204709,0.11681809753384015,0.0
2024-02-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-26,0.0,0.4675324675324675,0.36796536796536794,0.0,0.1645021645021645,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.23580786026200873,0.13973799126637554,0.0,0.0,0.0,0.24890829694323144,0.08733624454148471,0.28820960698689957,0.0,0.0
2024-03-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.3803230543318649,0.35389133627019087,0.0,0.04698972099853157,0.0,0.12848751835535976,0.0,0.09030837004405286,0.0,0.0
2024-04-01,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0
2024-04-08,0.0,0.32160804020100503,0.0,0.4371859296482412,0.24120603015075376,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.5116279069767442,0.0,0.0
2024-04-29,0.0,0.265527950310559,0.23447204968944102,0.13509316770186336,0.10947204968944099,0.0,0.08695652173913043,0.06599378881987578,0.10248447204968944,0.0,0.0
2024-05-06,,,,,,,,,,,
2024-05-13,,,,,,,,,,,
2024-05-20,,,,,,,,,,,
2024-05-27,,,,,,,,,,,
2024-06-03,0.0,0.13969528964945213,0.0,0.189898284367224,0.15715720085563364,0.0,0.37355393547823806,0.13969528964945213,0.0,0.0,0.0
2024-06-10,,,,,,,,,,,
2024-06-17,,,,,,,,,,,
2024-06-24,,,,,,,,,,,
2024-07-01,,,,,,,,,,,
2024-07-08,,,,,,,,,,,
2024-07-15,,,,,,,,,,,
2024-07-22,,,,,,,,,,,
2024-07-29,,,,,,,,,,,
2024-08-05,,,,,,,,,,,
2024-08-12,,,,,,,,,,,
2024-08-19,,,,,,,,,,,
2024-08-26,,,,,,,,,,,
2024-09-02,,,,,,,,,,,
2024-09-09,,,,,,,,,,,
2024-09-16,,,,,,,,,,,
2024-09-23,,,,,,,,,,,
2024-09-30,,,,,,,,,,,
2024-10-07,,,,,,,,,,,
2024-10-14,,,,,,,,,,,
2024-10-21,,,,,,,,,,,
2024-10-28,,,,,,,,,,,
2024-11-04,,,,,,,,,,,
2024-11-11,,,,,,,,,,,
2024-11-18,,,,,,,,,,,
2024-11-25,,,,,,,,,,,
2024-12-02,,,,,,,,,,,
2024-12-09,,,,,,,,,,,
2024-12-16,,,,,,,,,,,
2024-12-23,,,,,,,,,,,
2024-12-30,,,,,,,,,,,
2025-01-06,,,,,,,,,,,
2025-01-13,,,,,,,,,,,
2025-01-20,,,,,,,,,,,
2025-01-27,,,,,,,,,,,
2025-02-03,,,,,,,,,,,
2025-02-10,,,,,,,,,,,
2025-02-17,,,,,,,,,,,
2025-02-24,,,,,,,,,,,
2025-03-03,,,,,,,,,,,
2025-03-10,,,,,,,,,,,
