DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-03,0.2678725,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-04,-0.02025096,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-05,-0.2173523,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-06,0.1014959,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-07,0.4820066,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-08,0.553434,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-09,0.4438612,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-10,0.375807,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-11,0.6400784,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2023-12,0.7059987,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-01,0.8929313,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-02,0.09434316,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-03,0.287251,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-04,0.2021407,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-05,-0.1853561,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-06,0.3781127,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-07,1.046852,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-08,0.007352779,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-09,0.04926,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-10,0.5496767,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-11,0.4355834,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2024-12,0.3820294,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-01,0.2856128,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-02,0.2768481,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-03,0.3135678,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-04,0.3298338,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-05,0.2807621,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-06,0.2806902,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-07,0.2670845,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-08,0.06179855,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-09,0.2342635,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-10,0.3619057,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-11,0.6612188,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2025-12,0.2783133,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2026-01,0.3817061,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2026-02,0.5007382,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2026-03,0.8572003,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2026-04,0.1971912,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PC,_T,N,G1,2026-05,-0.2084605,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-01,7.070139,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-02,7.279974,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-03,7.453677,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-04,7.682503,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-05,7.652621,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-06,7.986339,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-07,8.150806,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-08,8.695423,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-09,8.69975,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-10,8.406816,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-11,7.796619,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2022-12,7.817029,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-01,7.910036,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-02,7.618864,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-03,6.849258,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-04,6.252845,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-05,5.835303,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-06,5.055554,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-07,4.785763,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-08,4.638014,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-09,4.454488,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-10,4.257,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-11,4.323913,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2023-12,4.66089,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-01,4.883929,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-02,4.400762,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-03,4.420939,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-04,4.65321,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-05,4.686768,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-06,4.976056,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-07,5.566164,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-08,4.99286,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-09,4.580387,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-10,4.76154,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-11,4.548671,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2024-12,4.212339,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-01,3.58504,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-02,3.77391,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-03,3.801141,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-04,3.933421,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-05,4.418773,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-06,4.317429,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-07,3.512423,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-08,3.568777,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-09,3.760288,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-10,3.566521,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-11,3.799191,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2025-12,3.691944,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2026-01,3.791301,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2026-02,4.023038,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2026-03,4.586773,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2026-04,4.448503,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,PA,_T,N,GY,2026-05,3.938948,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-01,134.6216,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-02,135.7385,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-03,137.0824,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-04,137.824,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-05,138.067,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-06,139.2329,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-07,140.2642,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-08,141.2396,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-09,142.1158,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-10,142.9201,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-11,143.7426,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2022-12,144.2914,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-01,145.2702,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-02,146.0802,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-03,146.4715,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-04,146.4419,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-05,146.1236,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-06,146.2719,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-07,146.9769,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-08,147.7904,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-09,148.4463,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-10,149.0042,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-11,149.958,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2023-12,151.0167,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-01,152.3651,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-02,152.5089,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-03,152.947,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-04,153.2561,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-05,152.9721,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-06,153.5505,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-07,155.1579,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-08,155.1693,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-09,155.2458,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-10,156.0991,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-11,156.7791,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2024-12,157.378,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-01,157.8275,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-02,158.2644,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-03,158.7607,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-04,159.2843,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-05,159.7316,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-06,160.1799,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-07,160.6077,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-08,160.707,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-09,161.0835,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-10,161.6664,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-11,162.7354,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2025-12,163.1883,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2026-01,163.8112,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2026-02,164.6315,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2026-03,166.0427,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2026-04,166.3701,A,0,2015,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),MEX,M,N,CPI,IX,_T,N,_Z,2026-05,166.0233,A,0,2015,,1
