fecha,descripcion,importe_nominal,es_sintetico
2021-05-17,MANTEQUILLA,66.27,1
2021-05-24,HARINA,162.4,1
2021-05-24,AZUCAR,98.55,1
2021-05-24,MANTEQUILLA,65.24,1
2021-05-31,HARINA,142.5,1
2021-05-31,AZUCAR,90.39,1
2021-05-31,MANTEQUILLA,58.22,1
2021-06-07,HARINA,131.99,1
2021-06-07,AZUCAR,87.75,1
2021-06-07,MANTEQUILLA,54.94,1
2021-06-14,HARINA,125.67,1
2021-06-14,AZUCAR,87.75,1
2021-06-14,MANTEQUILLA,53.35,1
2021-06-21,HARINA,138.98,1
2021-06-21,AZUCAR,102.05,1
2021-06-21,MANTEQUILLA,60.26,1
2021-06-28,HARINA,138.9,1
2021-06-28,AZUCAR,107.31,1
2021-06-28,MANTEQUILLA,61.55,1
2021-07-05,HARINA,0.0,1
2021-07-05,AZUCAR,0.0,1
2021-07-05,MANTEQUILLA,0.0,1
2021-07-12,HARINA,156.74,1
2021-07-12,AZUCAR,133.86,1
2021-07-12,MANTEQUILLA,72.65,1
2021-07-19,HARINA,163.35,1
2021-07-19,AZUCAR,146.37,1
2021-07-19,MANTEQUILLA,77.43,1
2021-07-26,HARINA,169.03,1
2021-07-26,AZUCAR,158.53,1
2021-07-26,MANTEQUILLA,81.89,1
2021-08-02,HARINA,163.93,1
2021-08-02,AZUCAR,160.46,1
2021-08-02,MANTEQUILLA,81.1,1
2021-08-09,HARINA,155.11,1
2021-08-09,AZUCAR,157.89,1
2021-08-09,MANTEQUILLA,78.25,1
2021-08-16,HARINA,143.14,1
2021-08-16,AZUCAR,150.89,1
2021-08-16,MANTEQUILLA,73.51,1
2021-08-23,HARINA,138.35,1
2021-08-23,AZUCAR,150.32,1
2021-08-23,MANTEQUILLA,72.17,1
2021-08-30,HARINA,115.92,1
2021-08-30,AZUCAR,129.15,1
2021-08-30,MANTEQUILLA,61.27,1
2021-09-06,HARINA,108.7,1
2021-09-06,AZUCAR,123.5,1
2021-09-06,MANTEQUILLA,58.05,1
2021-09-13,HARINA,105.84,1
2021-09-13,AZUCAR,121.9,1
2021-09-13,MANTEQUILLA,56.93,1
2021-09-20,HARINA,116.1,1
2021-09-20,AZUCAR,134.71,1
2021-09-20,MANTEQUILLA,62.7,1
2021-09-27,HARINA,126.81,1
2021-09-27,AZUCAR,147.33,1
2021-09-27,MANTEQUILLA,68.53,1
2021-10-04,HARINA,0.0,1
2021-10-04,AZUCAR,0.0,1
2021-10-04,MANTEQUILLA,0.0,1
2021-10-11,HARINA,144.28,1
2021-10-11,AZUCAR,164.93,1
2021-10-11,MANTEQUILLA,77.3,1
2021-10-18,HARINA,150.99,1
2021-10-18,AZUCAR,169.65,1
2021-10-18,MANTEQUILLA,80.16,1
2021-10-25,HARINA,157.34,1
2021-10-25,AZUCAR,172.79,1
2021-10-25,MANTEQUILLA,82.53,1
2021-11-01,HARINA,165.76,1
2021-11-01,AZUCAR,176.96,1
2021-11-01,MANTEQUILLA,85.68,1
2021-11-08,HARINA,163.21,1
2021-11-08,AZUCAR,168.55,1
2021-11-08,MANTEQUILLA,82.94,1
2021-11-15,HARINA,155.76,1
2021-11-15,AZUCAR,154.94,1
2021-11-15,MANTEQUILLA,77.68,1
2021-11-22,HARINA,141.9,1
2021-11-22,AZUCAR,135.43,1
2021-11-22,MANTEQUILLA,69.33,1
2021-11-29,HARINA,139.48,1
2021-11-29,AZUCAR,127.31,1
2021-11-29,MANTEQUILLA,66.7,1
2021-12-06,HARINA,135.69,1
2021-12-06,AZUCAR,118.15,1
2021-12-06,MANTEQUILLA,63.46,1
2021-12-13,HARINA,138.46,1
2021-12-13,AZUCAR,114.79,1
2021-12-13,MANTEQUILLA,63.31,1
2021-12-20,HARINA,150.34,1
2021-12-20,AZUCAR,118.52,1
2021-12-20,MANTEQUILLA,67.22,1
2021-12-27,HARINA,160.66,1
2021-12-27,AZUCAR,120.38,1
2021-12-27,MANTEQUILLA,70.26,1
2022-01-03,HARINA,0.0,1
2022-01-03,AZUCAR,0.0,1
2022-01-03,MANTEQUILLA,0.0,1
2022-01-10,HARINA,198.13,1
2022-01-10,AZUCAR,134.29,1
2022-01-10,MANTEQUILLA,83.11,1
2022-01-17,HARINA,209.56,1
2022-01-17,AZUCAR,135.39,1
2022-01-17,MANTEQUILLA,86.24,1
2022-01-24,HARINA,220.37,1
2022-01-24,AZUCAR,136.05,1
2022-01-24,MANTEQUILLA,89.11,1
2022-01-31,HARINA,224.98,1
2022-01-31,AZUCAR,133.16,1
2022-01-31,MANTEQUILLA,89.54,1
2022-02-07,HARINA,207.84,1
2022-02-07,AZUCAR,118.4,1
2022-02-07,MANTEQUILLA,81.56,1
2022-02-14,HARINA,205.06,1
2022-02-14,AZUCAR,112.96,1
2022-02-14,MANTEQUILLA,79.5,1
2022-02-21,HARINA,191.99,1
2022-02-21,AZUCAR,102.81,1
2022-02-21,MANTEQUILLA,73.7,1
2022-02-28,HARINA,179.85,1
2022-02-28,AZUCAR,94.19,1
2022-02-28,MANTEQUILLA,68.51,1
2022-03-07,HARINA,175.32,1
2022-03-07,AZUCAR,90.36,1
2022-03-07,MANTEQUILLA,66.42,1
2022-03-14,HARINA,186.08,1
2022-03-14,AZUCAR,95.02,1
2022-03-14,MANTEQUILLA,70.28,1
2022-03-21,HARINA,177.4,1
2022-03-21,AZUCAR,90.38,1
2022-03-21,MANTEQUILLA,66.95,1
2022-03-28,HARINA,200.94,1
2022-03-28,AZUCAR,102.85,1
2022-03-28,MANTEQUILLA,75.95,1
2022-04-04,HARINA,0.0,1
2022-04-04,AZUCAR,0.0,1
2022-04-04,MANTEQUILLA,0.0,1
2022-04-11,HARINA,213.03,1
2022-04-11,AZUCAR,112.32,1
2022-04-11,MANTEQUILLA,81.34,1
2022-04-18,HARINA,231.57,1
2022-04-18,AZUCAR,125.12,1
2022-04-18,MANTEQUILLA,89.17,1
2022-04-25,HARINA,238.19,1
2022-04-25,AZUCAR,132.62,1
2022-04-25,MANTEQUILLA,92.7,1
2022-05-02,HARINA,236.76,1
2022-05-02,AZUCAR,136.55,1
2022-05-02,MANTEQUILLA,93.33,1
2022-05-09,HARINA,226.65,1
2022-05-09,AZUCAR,136.01,1
2022-05-09,MANTEQUILLA,90.66,1
2022-05-16,HARINA,211.66,1
2022-05-16,AZUCAR,132.64,1
2022-05-16,MANTEQUILLA,86.08,1
2022-05-23,HARINA,188.1,1
2022-05-23,AZUCAR,123.47,1
2022-05-23,MANTEQUILLA,77.89,1
2022-05-30,HARINA,172.48,1
2022-05-30,AZUCAR,118.85,1
2022-05-30,MANTEQUILLA,72.83,1
2022-06-06,HARINA,169.42,1
2022-06-06,AZUCAR,122.74,1
2022-06-06,MANTEQUILLA,73.04,1
2022-06-13,HARINA,159.18,1
2022-06-13,AZUCAR,121.33,1
2022-06-13,MANTEQUILLA,70.13,1
2022-06-20,HARINA,155.09,1
2022-06-20,AZUCAR,124.36,1
2022-06-20,MANTEQUILLA,69.86,1
2022-06-27,HARINA,162.36,1
2022-06-27,AZUCAR,136.86,1
2022-06-27,MANTEQUILLA,74.8,1
2022-07-04,HARINA,0.0,1
2022-07-04,AZUCAR,0.0,1
2022-07-04,MANTEQUILLA,0.0,1
2022-07-11,HARINA,180.75,1
2022-07-11,AZUCAR,167.53,1
2022-07-11,MANTEQUILLA,87.07,1
2022-07-18,HARINA,193.22,1
2022-07-18,AZUCAR,187.06,1
2022-07-18,MANTEQUILLA,95.07,1
2022-07-25,HARINA,192.36,1
2022-07-25,AZUCAR,193.86,1
2022-07-25,MANTEQUILLA,96.55,1
2022-08-01,HARINA,190.68,1
2022-08-01,AZUCAR,199.23,1
2022-08-01,MANTEQUILLA,97.48,1
2022-08-08,HARINA,176.74,1
2022-08-08,AZUCAR,190.59,1
2022-08-08,MANTEQUILLA,91.83,1
2022-08-15,HARINA,167.89,1
2022-08-15,AZUCAR,185.92,1
2022-08-15,MANTEQUILLA,88.45,1
2022-08-22,HARINA,157.92,1
2022-08-22,AZUCAR,178.59,1
2022-08-22,MANTEQUILLA,84.13,1
2022-08-29,HARINA,143.56,1
2022-08-29,AZUCAR,164.84,1
2022-08-29,MANTEQUILLA,77.1,1
2022-09-05,HARINA,140.78,1
2022-09-05,AZUCAR,163.13,1
2022-09-05,MANTEQUILLA,75.98,1
2022-09-12,HARINA,134.86,1
2022-09-12,AZUCAR,156.73,1
2022-09-12,MANTEQUILLA,72.9,1
2022-09-19,HARINA,140.77,1
2022-09-19,AZUCAR,163.04,1
2022-09-19,MANTEQUILLA,75.95,1
2022-09-26,HARINA,149.97,1
2022-09-26,AZUCAR,172.05,1
2022-09-26,MANTEQUILLA,80.51,1
2022-10-03,HARINA,0.0,1
2022-10-03,AZUCAR,0.0,1
2022-10-03,MANTEQUILLA,0.0,1
2022-10-10,HARINA,171.57,1
2022-10-10,AZUCAR,189.66,1
2022-10-10,MANTEQUILLA,90.31,1
2022-10-17,HARINA,190.63,1
2022-10-17,AZUCAR,205.15,1
2022-10-17,MANTEQUILLA,98.94,1
2022-10-24,HARINA,193.87,1
2022-10-24,AZUCAR,202.08,1
2022-10-24,MANTEQUILLA,98.99,1
2022-10-31,HARINA,199.0,1
2022-10-31,AZUCAR,200.0,1
2022-10-31,MANTEQUILLA,99.75,1
2022-11-07,HARINA,199.29,1
2022-11-07,AZUCAR,192.36,1
2022-11-07,MANTEQUILLA,97.91,1
2022-11-14,HARINA,193.45,1
2022-11-14,AZUCAR,178.72,1
2022-11-14,MANTEQUILLA,93.04,1
2022-11-21,HARINA,187.31,1
2022-11-21,AZUCAR,165.19,1
2022-11-21,MANTEQUILLA,88.13,1
2022-11-28,HARINA,177.19,1
2022-11-28,AZUCAR,148.84,1
2022-11-28,MANTEQUILLA,81.51,1
2022-12-05,HARINA,172.91,1
2022-12-05,AZUCAR,138.15,1
2022-12-05,MANTEQUILLA,77.76,1
2022-12-12,HARINA,177.77,1
2022-12-12,AZUCAR,135.01,1
2022-12-12,MANTEQUILLA,78.2,1
2022-12-19,HARINA,178.12,1
2022-12-19,AZUCAR,128.58,1
2022-12-19,MANTEQUILLA,76.67,1
2022-12-26,HARINA,194.11,1
2022-12-26,AZUCAR,133.29,1
2022-12-26,MANTEQUILLA,81.85,1
2023-01-02,HARINA,0.0,1
2023-01-02,AZUCAR,0.0,1
2023-01-02,MANTEQUILLA,0.0,1
2023-01-09,HARINA,231.19,1
2023-01-09,AZUCAR,144.42,1
2023-01-09,MANTEQUILLA,93.9,1
2023-01-16,HARINA,248.47,1
2023-01-16,AZUCAR,148.66,1
2023-01-16,MANTEQUILLA,99.28,1
2023-01-23,HARINA,266.56,1
2023-01-23,AZUCAR,153.33,1
2023-01-23,MANTEQUILLA,104.97,1
2023-01-30,HARINA,260.87,1
2023-01-30,AZUCAR,144.92,1
2023-01-30,MANTEQUILLA,101.45,1
2023-02-06,HARINA,259.22,1
2023-02-06,AZUCAR,139.78,1
2023-02-06,MANTEQUILLA,99.75,1
