fecha,descripcion,importe_nominal
2021-08-16,MANTEQUILLA,73.51
2021-08-23,HARINA,138.35
2021-08-23,AZUCAR,150.32
2021-08-23,MANTEQUILLA,72.17
2021-08-30,HARINA,115.92
2021-08-30,AZUCAR,129.15
2021-08-30,MANTEQUILLA,61.27
2021-09-06,HARINA,108.7
2021-09-06,AZUCAR,123.5
2021-09-06,MANTEQUILLA,58.05
2021-09-13,HARINA,105.84
2021-09-13,AZUCAR,121.9
2021-09-13,MANTEQUILLA,56.93
2021-09-20,HARINA,116.1
2021-09-20,AZUCAR,134.71
2021-09-20,MANTEQUILLA,62.7
2021-09-27,HARINA,126.81
2021-09-27,AZUCAR,147.33
2021-09-27,MANTEQUILLA,68.53
2021-10-11,HARINA,144.28
2021-10-11,AZUCAR,164.93
2021-10-11,MANTEQUILLA,77.3
2021-10-18,HARINA,150.99
2021-10-18,AZUCAR,169.65
2021-10-18,MANTEQUILLA,80.16
2021-10-25,HARINA,157.34
2021-10-25,AZUCAR,172.79
2021-10-25,MANTEQUILLA,82.53
2021-11-01,HARINA,165.76
2021-11-01,AZUCAR,176.96
2021-11-01,MANTEQUILLA,85.68
2021-11-08,HARINA,163.21
2021-11-08,AZUCAR,168.55
2021-11-08,MANTEQUILLA,82.94
2021-11-15,HARINA,155.76
2021-11-15,AZUCAR,154.94
2021-11-15,MANTEQUILLA,77.68
2021-11-22,HARINA,141.9
2021-11-22,AZUCAR,135.43
2021-11-22,MANTEQUILLA,69.33
2021-11-29,HARINA,139.48
2021-11-29,AZUCAR,127.31
2021-11-29,MANTEQUILLA,66.7
2021-12-06,HARINA,135.69
2021-12-06,AZUCAR,118.15
2021-12-06,MANTEQUILLA,63.46
2021-12-13,HARINA,138.46
2021-12-13,AZUCAR,114.79
2021-12-13,MANTEQUILLA,63.31
2021-12-20,HARINA,150.34
2021-12-20,AZUCAR,118.52
2021-12-20,MANTEQUILLA,67.22
2021-12-27,HARINA,160.66
2021-12-27,AZUCAR,120.38
2021-12-27,MANTEQUILLA,70.26
2022-01-10,HARINA,198.13
2022-01-10,AZUCAR,134.29
2022-01-10,MANTEQUILLA,83.11
2022-01-17,HARINA,209.56
2022-01-17,AZUCAR,135.39
2022-01-17,MANTEQUILLA,86.24
2022-01-24,HARINA,220.37
2022-01-24,AZUCAR,136.05
2022-01-24,MANTEQUILLA,89.11
2022-01-31,HARINA,224.98
2022-01-31,AZUCAR,133.16
2022-01-31,MANTEQUILLA,89.54
2022-02-07,HARINA,207.84
2022-02-07,AZUCAR,118.4
2022-02-07,MANTEQUILLA,81.56
2022-02-14,HARINA,205.06
2022-02-14,AZUCAR,112.96
2022-02-14,MANTEQUILLA,79.5
2022-02-21,HARINA,191.99
2022-02-21,AZUCAR,102.81
2022-02-21,MANTEQUILLA,73.7
2022-02-28,HARINA,179.85
2022-02-28,AZUCAR,94.19
2022-02-28,MANTEQUILLA,68.51
2022-03-07,HARINA,175.32
2022-03-07,AZUCAR,90.36
2022-03-07,MANTEQUILLA,66.42
2022-03-14,HARINA,186.08
2022-03-14,AZUCAR,95.02
2022-03-14,MANTEQUILLA,70.28
2022-03-21,HARINA,177.4
2022-03-21,AZUCAR,90.38
2022-03-21,MANTEQUILLA,66.95
2022-03-28,HARINA,200.94
2022-03-28,AZUCAR,102.85
2022-03-28,MANTEQUILLA,75.95
2022-04-11,HARINA,213.03
2022-04-11,AZUCAR,112.32
2022-04-11,MANTEQUILLA,81.34
2022-04-18,HARINA,231.57
2022-04-18,AZUCAR,125.12
2022-04-18,MANTEQUILLA,89.17
2022-04-25,HARINA,238.19
2022-04-25,AZUCAR,132.62
2022-04-25,MANTEQUILLA,92.7
2022-05-02,HARINA,236.76
2022-05-02,AZUCAR,136.55
2022-05-02,MANTEQUILLA,93.33
2022-05-09,HARINA,226.65
2022-05-09,AZUCAR,136.01
2022-05-09,MANTEQUILLA,90.66
2022-05-16,HARINA,211.66
2022-05-16,AZUCAR,132.64
2022-05-16,MANTEQUILLA,86.08
2022-05-23,HARINA,188.1
2022-05-23,AZUCAR,123.47
2022-05-23,MANTEQUILLA,77.89
2022-05-30,HARINA,172.48
2022-05-30,AZUCAR,118.85
2022-05-30,MANTEQUILLA,72.83
2022-06-06,HARINA,169.42
2022-06-06,AZUCAR,122.74
2022-06-06,MANTEQUILLA,73.04
2022-06-13,HARINA,159.18
2022-06-13,AZUCAR,121.33
2022-06-13,MANTEQUILLA,70.13
2022-06-20,HARINA,155.09
2022-06-20,AZUCAR,124.36
2022-06-20,MANTEQUILLA,69.86
2022-06-27,HARINA,162.36
2022-06-27,AZUCAR,136.86
2022-06-27,MANTEQUILLA,74.8
2022-07-11,HARINA,180.75
2022-07-11,AZUCAR,167.53
2022-07-11,MANTEQUILLA,87.07
2022-07-18,HARINA,193.22
2022-07-18,AZUCAR,187.06
2022-07-18,MANTEQUILLA,95.07
2022-07-25,HARINA,192.36
2022-07-25,AZUCAR,193.86
2022-07-25,MANTEQUILLA,96.55
2022-08-01,HARINA,190.68
2022-08-01,AZUCAR,199.23
2022-08-01,MANTEQUILLA,97.48
2022-08-08,HARINA,176.74
2022-08-08,AZUCAR,190.59
2022-08-08,MANTEQUILLA,91.83
2022-08-15,HARINA,167.89
2022-08-15,AZUCAR,185.92
2022-08-15,MANTEQUILLA,88.45
2022-08-22,HARINA,157.92
2022-08-22,AZUCAR,178.59
2022-08-22,MANTEQUILLA,84.13
2022-08-29,HARINA,143.56
2022-08-29,AZUCAR,164.84
2022-08-29,MANTEQUILLA,77.1
2022-09-05,HARINA,140.78
2022-09-05,AZUCAR,163.13
2022-09-05,MANTEQUILLA,75.98
2022-09-12,HARINA,134.86
2022-09-12,AZUCAR,156.73
2022-09-12,MANTEQUILLA,72.9
2022-09-19,HARINA,140.77
2022-09-19,AZUCAR,163.04
2022-09-19,MANTEQUILLA,75.95
2022-09-26,HARINA,149.97
2022-09-26,AZUCAR,172.05
2022-09-26,MANTEQUILLA,80.51
2022-10-10,HARINA,171.57
2022-10-10,AZUCAR,189.66
2022-10-10,MANTEQUILLA,90.31
2022-10-17,HARINA,190.63
2022-10-17,AZUCAR,205.15
2022-10-17,MANTEQUILLA,98.94
2022-10-24,HARINA,193.87
2022-10-24,AZUCAR,202.08
2022-10-24,MANTEQUILLA,98.99
2022-10-31,HARINA,199.0
2022-10-31,AZUCAR,200.0
2022-10-31,MANTEQUILLA,99.75
2022-11-07,HARINA,199.29
2022-11-07,AZUCAR,192.36
2022-11-07,MANTEQUILLA,97.91
2022-11-14,HARINA,193.45
2022-11-14,AZUCAR,178.72
2022-11-14,MANTEQUILLA,93.04
2022-11-21,HARINA,187.31
2022-11-21,AZUCAR,165.19
2022-11-21,MANTEQUILLA,88.13
2022-11-28,HARINA,177.19
2022-11-28,AZUCAR,148.84
2022-11-28,MANTEQUILLA,81.51
2022-12-05,HARINA,172.91
2022-12-05,AZUCAR,138.15
2022-12-05,MANTEQUILLA,77.76
2022-12-12,HARINA,177.77
2022-12-12,AZUCAR,135.01
2022-12-12,MANTEQUILLA,78.2
2022-12-19,HARINA,178.12
2022-12-19,AZUCAR,128.58
2022-12-19,MANTEQUILLA,76.67
2022-12-26,HARINA,194.11
2022-12-26,AZUCAR,133.29
2022-12-26,MANTEQUILLA,81.85
2023-01-09,HARINA,231.19
2023-01-09,AZUCAR,144.42
2023-01-09,MANTEQUILLA,93.9
2023-01-16,HARINA,248.47
2023-01-16,AZUCAR,148.66
2023-01-16,MANTEQUILLA,99.28
2023-01-23,HARINA,266.56
2023-01-23,AZUCAR,153.33
2023-01-23,MANTEQUILLA,104.97
2023-01-30,HARINA,260.87
2023-01-30,AZUCAR,144.92
2023-01-30,MANTEQUILLA,101.45
2023-02-06,HARINA,259.22
2023-02-06,AZUCAR,139.78
2023-02-06,MANTEQUILLA,99.75
