PROVEEDOR,fecha,NUMERO,CANT,U#MEDIDA,descripcion,importe_nominal,P#UNITARIO,CLASIFICACION,SUBCLASIFICACION,semana_inicio,es_sintetico,metodo_sintesis,registro_id,descripcion_normalizada,motivo
ESTRELLA,2022-01-14,46422,1.0,pz,color gel negro,14.5,14.5,COLORANTES,,2022-01-10,False,,22,COLOR GEL NEGRO,
ESTRELLA,2022-01-14,46422,50.0,gr,granillo chico,5.0,100.0,CHOCOLATE,,2022-01-10,False,,23,GRANILLO CHICO,
ESTRELLA,2022-01-14,46422,2.0,pz,Manga chica,11.0,5.5,CONSUMIBLES,,2022-01-10,False,,24,MANGA CHICA,
ESTRELLA,2022-01-18,46119,100.0,gr,Alpezzi 14000,15.0,150.0,CHOCOLATE,,2022-01-17,False,,25,ALPEZZI 14000,
ESTRELLA,2022-01-18,46119,100.0,gr,Sicao blanco,14.0,140.0,DECORACION,,2022-01-17,False,,26,SICAO BLANCO,
ESTRELLA,2022-01-18,46119,100.0,gr,Kisses,25.0,250.0,CHOCOLATE,,2022-01-17,False,,27,KISSES,
CRAVIOTO,2022-01-23,82997,1.0,paq,deiman plumones mágicos,335.5,335.5,DECORACION,,2022-01-17,False,,28,DEIMAN PLUMONES MAGICOS,
CRAVIOTO,2022-01-23,82997,10.0,pz,pastireal manga no. 12,35.96,3.596,CONSUMIBLES,,2022-01-17,False,,29,PASTIREAL MANGA NO. 12,
CRAVIOTO,2022-01-23,82997,1.0,Kg,puratos creamfil creme choco,39.7,39.7,RELLENO,,2022-01-17,False,,30,PURATOS CREAMFIL CREME CHOCO,
CRAVIOTO,2022-01-23,82997,1.0,pz,molde para chocolate,19.72,19.72,HERRAMIENTA,,2022-01-17,False,,31,MOLDE PARA CHOCOLATE,
CRAVIOTO,2022-01-23,82997,25.0,pz,inix contenedor mantecadas,160.1,6.404,EMPAQUE,,2022-01-17,False,,32,INIX CONTENEDOR MANTECADAS,
CRAVIOTO,2022-01-23,82997,1.0,paq,nestle carlos v stick 20 pz,33.83,33.83,CHOCOLATE,,2022-01-17,False,,33,NESTLE CARLOS V STICK 20 PZ,
CRAVIOTO,2022-01-23,82997,1.0,pz,celofan 9x15,16.68,16.68,CONSUMIBLES,,2022-01-17,False,,34,CELOFAN 9X15,
CRAVIOTO,2022-01-23,82997,1.0,pz,deiman aditivo para chocolate,42.17,42.17,DECORACION,,2022-01-17,False,,35,DEIMAN ADITIVO PARA CHOCOLATE,
CRAVIOTO,2022-01-23,82997,1.0,pz,deiman bioxido de titanio,41.94,41.94,DECORACION,,2022-01-17,False,,36,DEIMAN BIOXIDO DE TITANIO,
CRAVIOTO,2022-01-23,82997,1.0,pz,deiman sab liq vainilla sin color 500 ml,30.54,30.54,DECORACION,,2022-01-17,False,,37,DEIMAN SAB LIQ VAINILLA SIN COLOR 500 ML,
CRAVIOTO,2022-01-23,82997,1.0,pz,Ferrero Rocher T-16,101.95,101.95,CHOCOLATE,,2022-01-17,False,,38,FERRERO ROCHER T-16,
ESTRELLA,2022-01-24,46199,1.0,Kg,Chantilli,64.0,64.0,CHANTILLY,,2022-01-24,False,,39,CHANTILLI,
ESTRELLA,2022-01-24,46199,1.0,pz,Base,3.0,3.0,BASES,,2022-01-24,False,,40,BASE,
ESTRELLA,2022-01-24,46199,1.0,Kg,Puratos Tres Leches Vainilla,65.5,65.5,RELLENO,,2022-01-24,False,,41,PURATOS TRES LECHES VAINILLA,
ESTRELLA,2022-01-24,46199,1.0,Kg,Azucar glass,28.5,28.5,AZUCAR,GLASS,2022-01-24,False,,42,AZUCAR GLASS,
ESTRELLA,2022-01-24,46199,2.0,pz,Domo para cupcake,32.0,16.0,EMPAQUE,,2022-01-24,False,,43,DOMO PARA CUPCAKE,
GASOLINERIA,2022-02-01,ND,10.0,lts,Gasolina,210.9,21.09,COMBUSTIBLE,,2022-01-31,False,,44,GASOLINA,
TIENDA,2022-02-01,ND,2.0,kg,Huevo,80.0,40.0,HUEVO,,2022-01-31,False,,45,HUEVO,
GASERA,2022-02-01,ND,10.0,lts,Gas LP,120.0,12.0,COMBUSTIBLE,,2022-01-31,False,,46,GAS LP,
B. AURRERA,2022-02-04,55220310434704846091,1.0,pz,chocolate,16.0,16.0,CHOCOLATE,,2022-01-31,False,,47,CHOCOLATE,
REPOSTEARTE,2022-02-04,ND,2.0,cj,Domo para cupcake 12 piezas,30.0,15.0,EMPAQUE,,2022-01-31,False,,48,DOMO PARA CUPCAKE 12 PIEZAS,
REPOSTEARTE,2022-02-04,ND,2.0,cj,domo para cupcake 6 piezas,35.0,17.5,EMPAQUE,,2022-01-31,False,,49,DOMO PARA CUPCAKE 6 PIEZAS,
REPOSTEARTE,2022-02-04,ND,50.0,gr,perla,22.5,450.0,DECORACION,,2022-01-31,False,,50,PERLA,
REPOSTEARTE,2022-02-04,ND,1.0,pz,letrero,40.0,40.0,DECORACION,,2022-01-31,False,,51,LETRERO,
B. AURRERA,2022-02-05,13112569694126684444,1.0,paq,Galleta Oreo,21.9,21.9,GALLETAS,,2022-01-31,False,,52,GALLETA OREO,
MEGA PLAST,2022-02-10,328415,1.0,Kg,easy pastel tres leches,47.0,47.0,HARINA,VAINILLA,2022-02-07,False,,53,EASY PASTEL TRES LECHES,
MEGA PLAST,2022-02-10,328415,500.0,gr,harina de trigo suelta,7.5,15.0,HARINA,TRIGO,2022-02-07,False,,54,HARINA DE TRIGO SUELTA,
MEGA PLAST,2022-02-10,328415,1.0,pz,Royal Icing Deiman 50,50.0,50.0,ROYALICING,,2022-02-07,False,,55,ROYAL ICING DEIMAN 50,
MEGA PLAST,2022-02-10,328415,1.0,ND,ND,22.0,22.0,NO DEFINIDO,,2022-02-07,False,,56,ND,
MEGA PLAST,2022-02-10,328415,1.0,pz,mantequilla gloria,185.0,185.0,MANTEQUILLA,,2022-02-07,False,,57,MANTEQUILLA GLORIA,
MEGA PLAST,2022-02-10,328415,2.0,pz,papel quilon para hornear,10.0,5.0,CONSUMIBLES,,2022-02-07,False,,58,PAPEL QUILON PARA HORNEAR,
MEGA PLAST,2022-02-10,328415,1.0,ND,ND,26.0,26.0,NO DEFINIDO,,2022-02-07,False,,59,ND,
REPOSTEARTE,2022-02-10,ND,5.0,cj,domo para cupcake 6 piezas,60.0,12.0,EMPAQUE,,2022-02-07,False,,60,DOMO PARA CUPCAKE 6 PIEZAS,
REPOSTEARTE,2022-02-10,ND,3.0,cj,Domo para cupcake 12 piezas,52.5,17.5,EMPAQUE,,2022-02-07,False,,61,DOMO PARA CUPCAKE 12 PIEZAS,
REPOSTEARTE,2022-02-10,ND,1.0,pz,matizador,70.0,70.0,DECORACION,,2022-02-07,False,,62,MATIZADOR,
ESTRELLA,2022-02-12,49354,3.0,kg,Chantilli Asturias,198.0,66.0,CHANTILLY,,2022-02-07,False,,63,CHANTILLI ASTURIAS,
ESTRELLA,2022-02-12,49354,1.0,kg,Foundant,95.0,95.0,FONDANT,,2022-02-07,False,,64,FOUNDANT,
B. AURRERA,2022-02-12,799515472123451261599,1.0,pz,Queso philadelphia,31.5,31.5,RELLENO,,2022-02-07,False,,65,QUESO PHILADELPHIA,
B. AURRERA,2022-02-12,799515472123451261599,1.0,pz,aceite,32.1,32.1,ACEITE,,2022-02-07,False,,66,ACEITE,
REPOSTEARTE,2022-02-14,ND,100.0,gr,perlas,35.0,350.0,DECORACION,,2022-02-14,False,,67,PERLAS,
REPOSTEARTE,2022-02-19,ND,2.0,pz,Transfer,90.0,45.0,DECORACION,,2022-02-14,False,,68,TRANSFER,
MEGA PLAST,2022-02-21,329928,1.0,Kg,easy pastel tres leches,47.0,47.0,HARINA,VAINILLA,2022-02-21,False,,69,EASY PASTEL TRES LECHES,
ESTRELLA,2022-02-23,1893,50.0,pz,celofan 8x12,15.0,0.3,DECORACION,,2022-02-21,False,,70,CELOFAN 8X12,
ESTRELLA,2022-02-23,1893,100.0,gr,suspiro,16.0,160.0,DULCERIA,,2022-02-21,False,,71,SUSPIRO,
ESTRELLA,2022-02-23,1893,1.0,Kg,chantilli,66.0,66.0,CHANTILLY,,2022-02-21,False,,72,CHANTILLI,
ESTRELLA,2022-02-23,1893,1.0,kg,red velvet,60.0,60.0,HARINA,RED VELVET,2022-02-21,False,,73,RED VELVET,
ESTRELLA,2022-02-23,1893,1.0,pz,Ferrero,85.0,85.0,CHOCOLATE,,2022-02-21,False,,74,FERRERO,
ESTRELLA,2022-02-23,1893,100.0,gr,cacao bremen,18.0,180.0,CHOCOLATE,,2022-02-21,False,,75,CACAO BREMEN,
B. AURRERA,2022-03-01,ND,1.0,pz,aceite,40.0,40.0,ACEITE,,2022-02-28,False,,76,ACEITE,
GASERA,2022-03-01,ND,10.0,lts,Gas LP,120.0,12.0,COMBUSTIBLE,,2022-02-28,False,,77,GAS LP,
TIENDA,2022-03-01,ND,1.0,kg,Huevo,40.0,40.0,HUEVO,,2022-02-28,False,,78,HUEVO,
MEGA PLAST,2022-03-03,331267,1.0,Kg,huevo blanco san juan,39.0,39.0,HUEVO,,2022-02-28,False,,79,HUEVO BLANCO SAN JUAN,
MEGA PLAST,2022-03-03,331267,1.0,Kg,chantilli,66.0,66.0,CHANTILLY,,2022-02-28,False,,80,CHANTILLI,
MEGA PLAST,2022-03-03,331267,100.0,gr,kisses,25.0,250.0,CHOCOLATE,,2022-02-28,False,,81,KISSES,
MEGA PLAST,2022-03-03,331267,100.0,gr,confiter semi amargo,22.0,220.0,CHOCOLATE,,2022-02-28,False,,82,CONFITER SEMI AMARGO,
MEGA PLAST,2022-03-03,331267,1.0,pz,relleno zarzamora puratos,52.0,52.0,RELLENO,,2022-02-28,False,,83,RELLENO ZARZAMORA PURATOS,
MEGA PLAST,2022-03-03,331267,1.0,Kg,Easy pastel tres leches,47.0,47.0,HARINA,VAINILLA,2022-02-28,False,,84,EASY PASTEL TRES LECHES,
REPOSTEARTE,2022-03-03,ND,2.0,Kg,Foundant,166.0,83.0,FONDANT,,2022-02-28,False,,85,FOUNDANT,
REPOSTEARTE,2022-03-03,ND,2.0,pz,bases 28 cm,21.0,10.5,BASES,,2022-02-28,False,,86,BASES 28 CM,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-001,1.0,semana,Alpezzi 14000,1.97,1.97,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,87,ALPEZZI 14000,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-002,1.0,semana,Azucar glass,3.75,3.75,AZUCAR,GLASS,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,88,AZUCAR GLASS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-003,1.0,semana,Base,0.39,0.39,BASES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,89,BASE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-004,1.0,semana,Chantilli,17.42,17.42,CHANTILLY,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,90,CHANTILLI,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-005,1.0,semana,Chantilli Asturias,26.03,26.03,CHANTILLY,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,91,CHANTILLI ASTURIAS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-006,1.0,semana,DESCONOCIDO,31.28,31.28,NO DEFINIDO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,92,DESCONOCIDO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-007,1.0,semana,Domo mantecada 6 cavidades,5.59,5.59,EMPAQUE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,93,DOMO MANTECADA 6 CAVIDADES,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-008,1.0,semana,Domo para cupcake,4.21,4.21,EMPAQUE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,94,DOMO PARA CUPCAKE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-009,1.0,semana,Domo para cupcake 12 piezas,10.84,10.84,EMPAQUE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,95,DOMO PARA CUPCAKE 12 PIEZAS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-010,1.0,semana,Easy pastel tres leches,6.18,6.18,HARINA,VAINILLA,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,96,EASY PASTEL TRES LECHES,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-011,1.0,semana,Ferrero,11.17,11.17,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,97,FERRERO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-012,1.0,semana,Ferrero Rocher T-16,13.4,13.4,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,98,FERRERO ROCHER T-16,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-013,1.0,semana,Foundant,56.13,56.13,FONDANT,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,99,FOUNDANT,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-014,1.0,semana,Galleta Oreo,2.88,2.88,GALLETAS,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,100,GALLETA OREO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-015,1.0,semana,Gas LP,31.55,31.55,COMBUSTIBLE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,101,GAS LP,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-016,1.0,semana,Gasolina,27.72,27.72,COMBUSTIBLE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,102,GASOLINA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-017,1.0,semana,Huevo,15.77,15.77,HUEVO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,103,HUEVO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-018,1.0,semana,Kisses,3.29,3.29,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,104,KISSES,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-019,1.0,semana,Manga chica,1.45,1.45,CONSUMIBLES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,105,MANGA CHICA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-020,1.0,semana,ND,6.31,6.31,NO DEFINIDO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,106,ND,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-021,1.0,semana,Puratos Tres Leches Vainilla,8.61,8.61,RELLENO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,107,PURATOS TRES LECHES VAINILLA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-022,1.0,semana,Queso philadelphia,12.42,12.42,RELLENO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,108,QUESO PHILADELPHIA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-023,1.0,semana,Royal Icing Deiman 50,6.57,6.57,ROYALICING,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,109,ROYAL ICING DEIMAN 50,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-024,1.0,semana,Sicao blanco,1.84,1.84,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,110,SICAO BLANCO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-025,1.0,semana,Transfer,23.66,23.66,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,111,TRANSFER,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-026,1.0,semana,Turin amargo,3.48,3.48,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,112,TURIN AMARGO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-027,1.0,semana,aceite,9.48,9.48,ACEITE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,113,ACEITE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-028,1.0,semana,base,1.38,1.38,BASES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,114,BASE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-029,1.0,semana,bases 28 cm,2.76,2.76,BASES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,115,BASES 28 CM,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-030,1.0,semana,cacao bremen,2.37,2.37,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,116,CACAO BREMEN,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-031,1.0,semana,capacillos,5.13,5.13,CAPACILLOS,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,117,CAPACILLOS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-032,1.0,semana,celofan 8x12,1.97,1.97,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,118,CELOFAN 8X12,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-033,1.0,semana,celofan 9x15,2.19,2.19,CONSUMIBLES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,119,CELOFAN 9X15,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-034,1.0,semana,chantilli,26.36,26.36,CHANTILLY,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,120,CHANTILLI,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-035,1.0,semana,chocolate,2.1,2.1,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,121,CHOCOLATE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-036,1.0,semana,color gel negro,1.91,1.91,COLORANTES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,122,COLOR GEL NEGRO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-037,1.0,semana,confiter semi amargo,2.89,2.89,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,123,CONFITER SEMI AMARGO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-038,1.0,semana,deiman aditivo para chocolate,5.54,5.54,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,124,DEIMAN ADITIVO PARA CHOCOLATE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-039,1.0,semana,deiman bioxido de titanio,5.51,5.51,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,125,DEIMAN BIOXIDO DE TITANIO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-040,1.0,semana,deiman plumones mágicos,44.1,44.1,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,126,DEIMAN PLUMONES MAGICOS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-041,1.0,semana,deiman sab liq vainilla sin color 500 ml,4.01,4.01,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,127,DEIMAN SAB LIQ VAINILLA SIN COLOR 500 ML,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-042,1.0,semana,domo para cupcake 6 piezas,12.49,12.49,EMPAQUE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,128,DOMO PARA CUPCAKE 6 PIEZAS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-043,1.0,semana,easy pastel tres leches,12.36,12.36,HARINA,VAINILLA,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,129,EASY PASTEL TRES LECHES,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-044,1.0,semana,granillo chico,0.66,0.66,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,130,GRANILLO CHICO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-045,1.0,semana,harina de trigo suelta,0.99,0.99,HARINA,TRIGO,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,131,HARINA DE TRIGO SUELTA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-046,1.0,semana,huevo blanco san juan,5.13,5.13,HUEVO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,132,HUEVO BLANCO SAN JUAN,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-047,1.0,semana,inix contenedor mantecadas,21.04,21.04,EMPAQUE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,133,INIX CONTENEDOR MANTECADAS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-048,1.0,semana,kisses,3.29,3.29,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,134,KISSES,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-049,1.0,semana,letrero,5.26,5.26,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,135,LETRERO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-050,1.0,semana,manteca,5.72,5.72,OTROS,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,136,MANTECA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-051,1.0,semana,mantequilla gloria,24.32,24.32,MANTEQUILLA,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,137,MANTEQUILLA GLORIA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-052,1.0,semana,matizador,9.2,9.2,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,138,MATIZADOR,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-053,1.0,semana,molde para chocolate,2.59,2.59,HERRAMIENTA,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,139,MOLDE PARA CHOCOLATE,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-054,1.0,semana,nestle carlos v stick 20 pz,4.45,4.45,CHOCOLATE,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,140,NESTLE CARLOS V STICK 20 PZ,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-055,1.0,semana,papel quilon para hornear,1.31,1.31,CONSUMIBLES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,141,PAPEL QUILON PARA HORNEAR,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-056,1.0,semana,pastireal manga no. 12,4.73,4.73,CONSUMIBLES,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,142,PASTIREAL MANGA NO. 12,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-057,1.0,semana,perla,2.96,2.96,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,143,PERLA,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-058,1.0,semana,perlas,6.9,6.9,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,144,PERLAS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-059,1.0,semana,puratos creamfil creme choco,5.22,5.22,RELLENO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,145,PURATOS CREAMFIL CREME CHOCO,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-060,1.0,semana,red velvet,7.89,7.89,HARINA,RED VELVET,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,146,RED VELVET,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-061,1.0,semana,relleno zarzamora puratos,6.84,6.84,RELLENO,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,147,RELLENO ZARZAMORA PURATOS,
SINTETICO_ENTRENAMIENTO,2022-03-07,SYN-C-20220307-062,1.0,semana,rutz,3.29,3.29,DECORACION,,2022-03-07,True,mediana causal de 8 semanas y participacion historica por descripcion,148,RUTZ,
