semana_inicio,registros_detectados,importe_registrado_MXN,articulos_con_cero,estado,evidencia,fecha_revision
2016-12-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-06-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-06-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-06-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-06-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-07-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-07-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-07-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-07-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-07-31,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-08-07,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-08-14,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-08-21,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-08-28,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-09-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-09-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-09-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-09-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-10-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-10-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-10-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-10-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-10-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-11-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-11-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-11-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-11-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-12-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-12-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-12-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-12-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-01-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-01-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-01-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-01-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-01-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-02-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-02-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-02-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-02-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-03-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-03-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-03-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-03-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-04-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-04-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-04-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-04-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-04-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-05-07,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-05-14,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-05-21,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-05-28,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-06-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-06-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-06-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-06-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-07-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-07-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-07-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-07-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-07-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-08-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-08-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-08-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-08-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-09-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-09-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-09-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-09-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-10-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-10-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-10-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-10-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-10-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-11-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-11-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-11-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-11-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-12-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-12-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-12-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-12-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2018-12-31,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-01-07,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-01-14,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-01-21,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-01-28,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-02-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-02-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-02-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-02-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-03-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-03-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-03-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-03-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-04-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-04-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-04-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-04-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-04-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-05-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-05-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-05-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-05-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-06-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-06-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-06-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-06-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-07-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-07-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-07-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-07-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-07-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-08-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-08-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-08-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-08-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-09-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-09-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-09-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-09-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-09-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-10-07,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-10-14,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-10-21,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-10-28,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-11-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-11-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-11-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-11-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-12-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-12-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-12-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-12-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2019-12-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-01-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-01-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-01-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-01-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-02-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-02-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-02-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-02-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-03-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-03-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-03-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-03-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-03-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-04-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-04-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-04-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-04-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-05-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-05-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-05-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-05-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-06-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-06-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-06-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-06-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-06-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-07-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-07-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-07-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-07-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-08-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-08-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-08-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-08-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-08-31,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-09-07,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-09-14,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-09-21,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-09-28,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-10-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-10-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-10-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-10-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-11-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-11-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-11-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-11-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-11-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-12-07,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-12-14,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-12-21,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2020-12-28,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-01-04,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-01-11,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-01-18,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-01-25,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-02-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-02-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-02-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-02-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-03-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-03-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-03-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-03-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-03-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-04-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-04-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-04-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-04-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-05-03,2.0,100.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-05-10,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-05-17,5.0,443.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-05-24,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-05-31,2.0,60.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-06-07,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-06-14,1.0,35.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-06-21,2.0,108.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-06-28,4.0,106.5,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-07-05,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-07-12,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-07-19,20.0,1239.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-07-26,16.0,774.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-08-02,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-08-09,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-08-16,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-08-23,11.0,612.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-08-30,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-09-06,4.0,200.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-09-13,1.0,166.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-09-20,11.0,570.5,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-09-27,13.0,1660.2,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-10-04,5.0,234.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-10-11,3.0,433.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-10-18,3.0,94.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-10-25,12.0,574.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-11-01,3.0,88.5,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-11-08,6.0,205.5,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-11-15,13.0,806.5,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-11-22,5.0,231.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-11-29,24.0,921.3,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-12-06,22.0,1192.4,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-12-13,14.0,581.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-12-20,7.0,307.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2021-12-27,14.0,1320.1399999999999,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-01-03,6.0,168.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-01-10,17.0,981.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-01-17,14.0,912.09,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-01-24,5.0,193.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-01-31,9.0,576.3,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-02-07,14.0,886.6,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-02-14,2.0,125.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-02-21,7.0,307.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-02-28,11.0,638.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-03-07,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-03-14,3.0,438.5,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-03-21,8.0,528.4,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-03-28,4.0,450.9,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-04-04,8.0,545.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-04-11,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-04-18,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-04-25,20.0,1333.9,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-05-02,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-05-09,18.0,835.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-05-16,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-05-23,0.0,0.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-05-30,14.0,914.9,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-06-06,1.0,132.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2022-06-13,2.0,122.0,0.0,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
